,datetime,usage
0,20190918T23-05,51199
1,20190918T22-05,55171
2,20190918T21-05,58070
3,20190918T20-05,59511
4,20190918T19-05,61576
5,20190918T18-05,63215
6,20190918T17-05,63300
7,20190918T16-05,62296
8,20190918T15-05,60934
9,20190918T14-05,58538
10,20190918T13-05,55497
11,20190918T12-05,52469
12,20190918T11-05,49666
13,20190918T10-05,46902
14,20190918T09-05,44776
15,20190918T08-05,43995
16,20190918T07-05,43277
17,20190918T06-05,40545
18,20190918T05-05,39064
19,20190918T04-05,39072
20,20190918T03-05,39923
21,20190918T02-05,41368
22,20190918T01-05,43392
23,20190918T00-05,46252
24,20190917T23-05,49864
25,20190917T22-05,53705
26,20190917T21-05,56509
27,20190917T20-05,57522
28,20190917T19-05,59101
29,20190917T18-05,60647
30,20190917T17-05,61264
31,20190917T16-05,60808
32,20190917T15-05,59796
33,20190917T14-05,58051
34,20190917T13-05,55409
35,20190917T12-05,52690
36,20190917T11-05,49860
37,20190917T10-05,46942
38,20190917T09-05,44706
39,20190917T08-05,43878
40,20190917T07-05,43188
41,20190917T06-05,40586
42,20190917T05-05,39130
43,20190917T04-05,39137
44,20190917T03-05,40059
45,20190917T02-05,41634
46,20190917T01-05,43825
47,20190917T00-05,47072
48,20190916T23-05,51212
49,20190916T22-05,55480
50,20190916T21-05,58727
51,20190916T20-05,60224
52,20190916T19-05,62261
53,20190916T18-05,64256
54,20190916T17-05,65115
55,20190916T16-05,64826
56,20190916T15-05,63816
57,20190916T14-05,62404
58,20190916T13-05,60039
59,20190916T12-05,57148
60,20190916T11-05,53334
61,20190916T10-05,49228
62,20190916T09-05,45770
63,20190916T08-05,44339
64,20190916T07-05,43763
65,20190916T06-05,41139
66,20190916T05-05,39655
67,20190916T04-05,39636
68,20190916T03-05,40469
69,20190916T02-05,41911
70,20190916T01-05,44184
71,20190916T00-05,47548
72,20190915T23-05,51601
73,20190915T22-05,55714
74,20190915T21-05,59039
75,20190915T20-05,60797
76,20190915T19-05,62925
77,20190915T18-05,64599
78,20190915T17-05,64856
79,20190915T16-05,64227
80,20190915T15-05,62678
81,20190915T14-05,60238
82,20190915T13-05,57110
83,20190915T12-05,53302
84,20190915T11-05,48821
85,20190915T10-05,44090
86,20190915T09-05,39866
87,20190915T08-05,37483
88,20190915T07-05,37351
89,20190915T06-05,37252
90,20190915T05-05,37647
91,20190915T04-05,38611
92,20190915T03-05,39938
93,20190915T02-05,41803
94,20190915T01-05,44188
95,20190915T00-05,47197
96,20190914T23-05,50506
97,20190914T22-05,53830
98,20190914T21-05,56894
99,20190914T20-05,59098
100,20190914T19-05,61640
101,20190914T18-05,63618
102,20190914T17-05,64640
103,20190914T16-05,64322
104,20190914T15-05,63310
105,20190914T14-05,61421
106,20190914T13-05,58607
107,20190914T12-05,54620
108,20190914T11-05,50005
109,20190914T10-05,45162
110,20190914T09-05,41010
111,20190914T08-05,38715
112,20190914T07-05,38257
113,20190914T06-05,37669
114,20190914T05-05,37621
115,20190914T04-05,38331
116,20190914T03-05,39668
117,20190914T02-05,41507
118,20190914T01-05,43987
119,20190914T00-05,47111
120,20190913T23-05,50462
121,20190913T22-05,54049
122,20190913T21-05,57050
123,20190913T20-05,59037
124,20190913T19-05,61538
125,20190913T18-05,64044
126,20190913T17-05,65201
127,20190913T16-05,65047
128,20190913T15-05,64044
129,20190913T14-05,61992
130,20190913T13-05,59124
131,20190913T12-05,55905
132,20190913T11-05,52440
133,20190913T10-05,48624
134,20190913T09-05,45497
135,20190913T08-05,44128
136,20190913T07-05,43530
137,20190913T06-05,40960
138,20190913T05-05,39601
139,20190913T04-05,39698
140,20190913T03-05,40734
141,20190913T02-05,42295
142,20190913T01-05,44744
143,20190913T00-05,47980
144,20190912T23-05,52149
145,20190912T22-05,56346
146,20190912T21-05,59330
147,20190912T20-05,60807
148,20190912T19-05,63255
149,20190912T18-05,65239
150,20190912T17-05,65958
151,20190912T16-05,65045
152,20190912T15-05,63460
153,20190912T14-05,61046
154,20190912T13-05,57872
155,20190912T12-05,54788
156,20190912T11-05,51460
157,20190912T10-05,47829
158,20190912T09-05,44832
159,20190912T08-05,43445
160,20190912T07-05,42772
161,20190912T06-05,39986
162,20190912T05-05,38534
163,20190912T04-05,38441
164,20190912T03-05,39264
165,20190912T02-05,40807
166,20190912T01-05,42972
167,20190912T00-05,46038
168,20190911T23-05,49799
169,20190911T22-05,53719
170,20190911T21-05,56605
171,20190911T20-05,57820
172,20190911T19-05,60091
173,20190911T18-05,62370
174,20190911T17-05,63568
175,20190911T16-05,63832
176,20190911T15-05,63108
177,20190911T14-05,60739
178,20190911T13-05,57225
179,20190911T12-05,53609
180,20190911T11-05,50083
181,20190911T10-05,47142
182,20190911T09-05,45263
183,20190911T08-05,44715
184,20190911T07-05,44120
185,20190911T06-05,41460
186,20190911T05-05,39821
187,20190911T04-05,39742
188,20190911T03-05,40472
189,20190911T02-05,41831
190,20190911T01-05,43911
191,20190911T00-05,46978
192,20190910T23-05,50793
193,20190910T22-05,54753
194,20190910T21-05,57541
195,20190910T20-05,58656
196,20190910T19-05,61035
197,20190910T18-05,63573
198,20190910T17-05,65080
199,20190910T16-05,64775
200,20190910T15-05,64049
201,20190910T14-05,62869
202,20190910T13-05,60500
203,20190910T12-05,57405
204,20190910T11-05,53971
205,20190910T10-05,50156
206,20190910T09-05,46743
207,20190910T08-05,45357
208,20190910T07-05,44788
209,20190910T06-05,42346
210,20190910T05-05,40900
211,20190910T04-05,40958
212,20190910T03-05,41861
213,20190910T02-05,43488
214,20190910T01-05,45789
215,20190910T00-05,48988
216,20190909T23-05,53133
217,20190909T22-05,57387
218,20190909T21-05,60602
219,20190909T20-05,62187
220,20190909T19-05,64616
221,20190909T18-05,66606
222,20190909T17-05,67678
223,20190909T16-05,67199
224,20190909T15-05,65984
225,20190909T14-05,63808
226,20190909T13-05,60676
227,20190909T12-05,57144
228,20190909T11-05,53273
229,20190909T10-05,49367
230,20190909T09-05,46454
231,20190909T08-05,45265
232,20190909T07-05,44850
233,20190909T06-05,42369
234,20190909T05-05,41082
235,20190909T04-05,40986
236,20190909T03-05,41799
237,20190909T02-05,43384
238,20190909T01-05,45671
239,20190909T00-05,49001
240,20190908T23-05,53272
241,20190908T22-05,57671
242,20190908T21-05,60905
243,20190908T20-05,62719
244,20190908T19-05,65375
245,20190908T18-05,67106
246,20190908T17-05,67500
247,20190908T16-05,66675
248,20190908T15-05,64908
249,20190908T14-05,62376
250,20190908T13-05,58671
251,20190908T12-05,54564
252,20190908T11-05,50281
253,20190908T10-05,45720
254,20190908T09-05,41553
255,20190908T08-05,39127
256,20190908T07-05,39105
257,20190908T06-05,39195
258,20190908T05-05,39673
259,20190908T04-05,40634
260,20190908T03-05,42156
261,20190908T02-05,44241
262,20190908T01-05,46953
263,20190908T00-05,50377
264,20190907T23-05,53838
265,20190907T22-05,57387
266,20190907T21-05,60609
267,20190907T20-05,63006
268,20190907T19-05,65987
269,20190907T18-05,67842
270,20190907T17-05,68523
271,20190907T16-05,67988
272,20190907T15-05,66491
273,20190907T14-05,64150
274,20190907T13-05,60924
275,20190907T12-05,56953
276,20190907T11-05,52326
277,20190907T10-05,47468
278,20190907T09-05,43113
279,20190907T08-05,40468
280,20190907T07-05,40130
281,20190907T06-05,39795
282,20190907T05-05,39984
283,20190907T04-05,40911
284,20190907T03-05,42422
285,20190907T02-05,44478
286,20190907T01-05,47162
287,20190907T00-05,50492
288,20190906T23-05,54241
289,20190906T22-05,58004
290,20190906T21-05,61482
291,20190906T20-05,64012
292,20190906T19-05,66998
293,20190906T18-05,68555
294,20190906T17-05,68823
295,20190906T16-05,68464
296,20190906T15-05,67843
297,20190906T14-05,65926
298,20190906T13-05,62763
299,20190906T12-05,59124
300,20190906T11-05,54592
301,20190906T10-05,49940
302,20190906T09-05,46164
303,20190906T08-05,44435
304,20190906T07-05,43911
305,20190906T06-05,41588
306,20190906T05-05,40344
307,20190906T04-05,40519
308,20190906T03-05,41622
309,20190906T02-05,43461
310,20190906T01-05,46041
311,20190906T00-05,49516
312,20190905T23-05,53937
313,20190905T22-05,58385
314,20190905T21-05,61766
315,20190905T20-05,63768
316,20190905T19-05,66254
317,20190905T18-05,67761
318,20190905T17-05,68030
319,20190905T16-05,67482
320,20190905T15-05,66555
321,20190905T14-05,64495
322,20190905T13-05,61533
323,20190905T12-05,57980
324,20190905T11-05,53658
325,20190905T10-05,49323
326,20190905T09-05,45708
327,20190905T08-05,44079
328,20190905T07-05,43629
329,20190905T06-05,41158
330,20190905T05-05,39882
331,20190905T04-05,40181
332,20190905T03-05,41286
333,20190905T02-05,43066
334,20190905T01-05,45606
335,20190905T00-05,49196
336,20190904T23-05,53609
337,20190904T22-05,58249
338,20190904T21-05,61881
339,20190904T20-05,63835
340,20190904T19-05,66328
341,20190904T18-05,68128
342,20190904T17-05,68464
343,20190904T16-05,67847
344,20190904T15-05,66740
345,20190904T14-05,64831
346,20190904T13-05,61977
347,20190904T12-05,58827
348,20190904T11-05,54929
349,20190904T10-05,50642
350,20190904T09-05,46938
351,20190904T08-05,45146
352,20190904T07-05,44514
353,20190904T06-05,42238
354,20190904T05-05,40840
355,20190904T04-05,41035
356,20190904T03-05,42040
357,20190904T02-05,43769
358,20190904T01-05,46224
359,20190904T00-05,49646
360,20190903T23-05,54011
361,20190903T22-05,58569
362,20190903T21-05,62038
363,20190903T20-05,63802
364,20190903T19-05,66288
365,20190903T18-05,68079
366,20190903T17-05,68549
367,20190903T16-05,67892
368,20190903T15-05,66762
369,20190903T14-05,64460
370,20190903T13-05,61099
371,20190903T12-05,57581
372,20190903T11-05,53558
373,20190903T10-05,49220
374,20190903T09-05,45720
375,20190903T08-05,43898
376,20190903T07-05,43288
377,20190903T06-05,40773
378,20190903T05-05,39415
379,20190903T04-05,39478
380,20190903T03-05,40436
381,20190903T02-05,42042
382,20190903T01-05,44480
383,20190903T00-05,47995
384,20190902T23-05,52364
385,20190902T22-05,56901
386,20190902T21-05,60278
387,20190902T20-05,62125
388,20190902T19-05,64717
389,20190902T18-05,66353
390,20190902T17-05,66601
391,20190902T16-05,65782
392,20190902T15-05,64322
393,20190902T14-05,62207
394,20190902T13-05,59400
395,20190902T12-05,55424
396,20190902T11-05,50734
397,20190902T10-05,45610
398,20190902T09-05,41236
399,20190902T08-05,38798
400,20190902T07-05,38992
401,20190902T06-05,38834
402,20190902T05-05,38855
403,20190902T04-05,39398
404,20190902T03-05,40607
405,20190902T02-05,42341
406,20190902T01-05,44693
407,20190902T00-05,47744
408,20190901T23-05,51195
409,20190901T22-05,54530
410,20190901T21-05,57418
411,20190901T20-05,59355
412,20190901T19-05,62119
413,20190901T18-05,63891
414,20190901T17-05,64205
415,20190901T16-05,63541
416,20190901T15-05,62179
417,20190901T14-05,59855
418,20190901T13-05,56890
419,20190901T12-05,53283
420,20190901T11-05,49122
421,20190901T10-05,44515
422,20190901T09-05,40205
423,20190901T08-05,37509
424,20190901T07-05,37411
425,20190901T06-05,37297
426,20190901T05-05,37568
427,20190901T04-05,38275
428,20190901T03-05,39506
429,20190901T02-05,41205
430,20190901T01-05,43380
431,20190901T00-05,46297
432,20190831T23-05,49273
433,20190831T22-05,52366
434,20190831T21-05,54714
435,20190831T20-05,56191
436,20190831T19-05,58556
437,20190831T18-05,59852
438,20190831T17-05,60146
439,20190831T16-05,59662
440,20190831T15-05,58582
441,20190831T14-05,56803
442,20190831T13-05,54474
443,20190831T12-05,51640
444,20190831T11-05,48411
445,20190831T10-05,45007
446,20190831T09-05,41623
447,20190831T08-05,39288
448,20190831T07-05,38807
449,20190831T06-05,38307
450,20190831T05-05,38342
451,20190831T04-05,38990
452,20190831T03-05,40179
453,20190831T02-05,41894
454,20190831T01-05,44235
455,20190831T00-05,47099
456,20190830T23-05,50172
457,20190830T22-05,53012
458,20190830T21-05,55114
459,20190830T20-05,56254
460,20190830T19-05,58820
461,20190830T18-05,61163
462,20190830T17-05,62705
463,20190830T16-05,63747
464,20190830T15-05,64625
465,20190830T14-05,64813
466,20190830T13-05,62158
467,20190830T12-05,58960
468,20190830T11-05,55253
469,20190830T10-05,51508
470,20190830T09-05,48373
471,20190830T08-05,46765
472,20190830T07-05,46404
473,20190830T06-05,44176
474,20190830T05-05,42981
475,20190830T04-05,43292
476,20190830T03-05,44566
477,20190830T02-05,46526
478,20190830T01-05,49177
479,20190830T00-05,52733
480,20190829T23-05,56881
481,20190829T22-05,61193
482,20190829T21-05,64212
483,20190829T20-05,65941
484,20190829T19-05,68767
485,20190829T18-05,70442
486,20190829T17-05,70989
487,20190829T16-05,70357
488,20190829T15-05,68688
489,20190829T14-05,66011
490,20190829T13-05,62618
491,20190829T12-05,58784
492,20190829T11-05,54654
493,20190829T10-05,50452
494,20190829T09-05,47140
495,20190829T08-05,45485
496,20190829T07-05,44904
497,20190829T06-05,42424
498,20190829T05-05,41082
499,20190829T04-05,41063
500,20190829T03-05,41974
501,20190829T02-05,43459
502,20190829T01-05,45738
503,20190829T00-05,48987
504,20190828T23-05,53048
505,20190828T22-05,57350
506,20190828T21-05,60322
507,20190828T20-05,61688
508,20190828T19-05,64036
509,20190828T18-05,66214
510,20190828T17-05,67215
511,20190828T16-05,66643
512,20190828T15-05,65262
513,20190828T14-05,62926
514,20190828T13-05,60098
515,20190828T12-05,56918
516,20190828T11-05,53484
517,20190828T10-05,50013
518,20190828T09-05,47247
519,20190828T08-05,45600
520,20190828T07-05,44905
521,20190828T06-05,42179
522,20190828T05-05,40639
523,20190828T04-05,40646
524,20190828T03-05,41351
525,20190828T02-05,42883
526,20190828T01-05,44909
527,20190828T00-05,47835
528,20190827T23-05,51444
529,20190827T22-05,55229
530,20190827T21-05,57481
