"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
TEX,"9/16/2019 12 AM CDT",47548,47905,47125,-424
TEX,"9/16/2019 1 AM CDT",44184,44848,43867,-318
TEX,"9/16/2019 2 AM CDT",41911,42320,41625,-286
TEX,"9/16/2019 3 AM CDT",40469,40751,40143,-327
TEX,"9/16/2019 4 AM CDT",39636,39715,39212,-425
TEX,"9/16/2019 5 AM CDT",39655,39685,39228,-428
TEX,"9/16/2019 6 AM CDT",41139,40949,40650,-489
TEX,"9/16/2019 7 AM CDT",43763,43440,43459,-305
TEX,"9/16/2019 8 AM CDT",44339,44366,44092,-248
TEX,"9/16/2019 9 AM CDT",45770,46096,45526,-244
TEX,"9/16/2019 10 AM CDT",49228,49361,49129,-100
TEX,"9/16/2019 11 AM CDT",53334,53263,53141,-193
TEX,"9/16/2019 12 PM CDT",57148,56965,56895,-253
TEX,"9/16/2019 1 PM CDT",60039,60445,59225,-813
TEX,"9/16/2019 2 PM CDT",62404,63253,61530,-875
TEX,"9/16/2019 3 PM CDT",63816,65297,62875,-942
TEX,"9/16/2019 4 PM CDT",64826,66266,64085,-742
TEX,"9/16/2019 5 PM CDT",65115,66491,64040,-1076
TEX,"9/16/2019 6 PM CDT",64256,65557,63446,-810
TEX,"9/16/2019 7 PM CDT",62261,63531,61644,-619
TEX,"9/16/2019 8 PM CDT",60224,61353,59634,-591
TEX,"9/16/2019 9 PM CDT",58727,59890,57968,-759
TEX,"9/16/2019 10 PM CDT",55480,56856,54753,-728
TEX,"9/16/2019 11 PM CDT",51212,52578,50942,-271
TEX,"9/17/2019 12 AM CDT",47072,48365,46815,-258
TEX,"9/17/2019 1 AM CDT",43825,44749,43636,-189
TEX,"9/17/2019 2 AM CDT",41634,42372,41268,-366
TEX,"9/17/2019 3 AM CDT",40059,40707,39643,-417
TEX,"9/17/2019 4 AM CDT",39137,39606,38672,-466
TEX,"9/17/2019 5 AM CDT",39130,39614,38712,-419
TEX,"9/17/2019 6 AM CDT",40586,40960,40167,-420
TEX,"9/17/2019 7 AM CDT",43188,43641,42634,-555
TEX,"9/17/2019 8 AM CDT",43878,44490,43541,-338
TEX,"9/17/2019 9 AM CDT",44706,45777,44427,-280
TEX,"9/17/2019 10 AM CDT",46942,48658,47040,98
TEX,"9/17/2019 11 AM CDT",49860,51966,49790,-70
TEX,"9/17/2019 12 PM CDT",52690,55391,52496,-194
TEX,"9/17/2019 1 PM CDT",55409,58712,55201,-208
TEX,"9/17/2019 2 PM CDT",58051,61505,57635,-416
TEX,"9/17/2019 3 PM CDT",59796,63394,59379,-417
TEX,"9/17/2019 4 PM CDT",60808,64216,60358,-450
TEX,"9/17/2019 5 PM CDT",61264,64383,60782,-483
TEX,"9/17/2019 6 PM CDT",60647,63469,60160,-487
TEX,"9/17/2019 7 PM CDT",59101,61470,58752,-350
TEX,"9/17/2019 8 PM CDT",57522,59765,57219,-303
TEX,"9/17/2019 9 PM CDT",56509,58339,56350,-160
TEX,"9/17/2019 10 PM CDT",53705,55420,53552,-155
TEX,"9/17/2019 11 PM CDT",49864,51375,49854,-12
TEX,"9/18/2019 12 AM CDT",46252,47482,46110,-136
TEX,"9/18/2019 1 AM CDT",43392,43359,43406,13
TEX,"9/18/2019 2 AM CDT",41368,41233,41507,138
TEX,"9/18/2019 3 AM CDT",39923,39814,39855,-68
TEX,"9/18/2019 4 AM CDT",39072,38983,39059,-14
TEX,"9/18/2019 5 AM CDT",39064,39035,38964,-100
TEX,"9/18/2019 6 AM CDT",40545,40513,40608,62
TEX,"9/18/2019 7 AM CDT",43277,43298,43630,352
TEX,"9/18/2019 8 AM CDT",43995,44065,44356,360
TEX,"9/18/2019 9 AM CDT",44776,44674,45139,362
TEX,"9/18/2019 10 AM CDT",46902,46974,47427,524
TEX,"9/18/2019 11 AM CDT",49666,50003,50151,484
TEX,"9/18/2019 12 PM CDT",52469,53092,52864,394
TEX,"9/18/2019 1 PM CDT",55497,55763,55631,134
TEX,"9/18/2019 2 PM CDT",58538,58026,58286,-253
TEX,"9/18/2019 3 PM CDT",60934,59536,60331,-605
TEX,"9/18/2019 4 PM CDT",62296,60434,61653,-645
TEX,"9/18/2019 5 PM CDT",63300,60719,62742,-559
TEX,"9/18/2019 6 PM CDT",63215,60119,62797,-418
TEX,"9/18/2019 7 PM CDT",61576,58423,61368,-208
TEX,"9/18/2019 8 PM CDT",59511,56884,59200,-311
TEX,"9/18/2019 9 PM CDT",58070,55755,57754,-317
TEX,"9/18/2019 10 PM CDT",55171,53000,55006,-166
TEX,"9/18/2019 11 PM CDT",51199,49228,50926,-274
TEX,"9/19/2019 12 AM CDT",47382,45388,47118,-265
TEX,"9/19/2019 1 AM CDT",44428,43707,44136,-294
TEX,"9/19/2019 2 AM CDT",42504,41463,42208,-297
TEX,"9/19/2019 3 AM CDT",41198,39994,40949,-250
TEX,"9/19/2019 4 AM CDT",40376,39133,40081,-297
TEX,"9/19/2019 5 AM CDT",40550,39278,40241,-310
TEX,"9/19/2019 6 AM CDT",42210,40799,41922,-289
TEX,"9/19/2019 7 AM CDT",45075,43576,45272,196
TEX,"9/19/2019 8 AM CDT",46129,44484,46179,49
TEX,"9/19/2019 9 AM CDT",46568,45416,46642,74
TEX,"9/19/2019 10 AM CDT",48153,47696,48323,169
TEX,"9/19/2019 11 AM CDT",49852,50595,50024,171
TEX,"9/19/2019 12 PM CDT",51246,53514,51268,21
TEX,"9/19/2019 1 PM CDT",52719,56056,52625,-95
TEX,"9/19/2019 2 PM CDT",54191,58515,53828,-364
TEX,"9/19/2019 3 PM CDT",55180,59786,54920,-260
TEX,"9/19/2019 4 PM CDT",55334,60404,55181,-153
TEX,"9/19/2019 5 PM CDT",55139,60624,55113,-27
TEX,"9/19/2019 6 PM CDT",54629,59902,54656,26
TEX,"9/19/2019 7 PM CDT",53561,58112,53505,-56
TEX,"9/19/2019 8 PM CDT",52817,56471,52648,-170
TEX,"9/19/2019 9 PM CDT",52184,55390,52148,-37
TEX,"9/19/2019 10 PM CDT",49919,52832,49915,-6
TEX,"9/19/2019 11 PM CDT",46923,49280,47064,140
TEX,"9/20/2019 12 AM CDT",43974,45676,44112,137
TEX,"9/20/2019 1 AM CDT",41771,42890,41928,156
TEX,"9/20/2019 2 AM CDT",40375,40963,40337,-40
TEX,"9/20/2019 3 AM CDT",39505,39724,39497,-10
TEX,"9/20/2019 4 AM CDT",39059,38949,39038,-22
TEX,"9/20/2019 5 AM CDT",39328,39084,39303,-26
TEX,"9/20/2019 6 AM CDT",40979,40618,40962,-17
TEX,"9/20/2019 7 AM CDT",43798,43355,44187,388
TEX,"9/20/2019 8 AM CDT",45035,44230,45446,409
TEX,"9/20/2019 9 AM CDT",46272,45193,46667,394
TEX,"9/20/2019 10 AM CDT",49001,47317,49519,518
