"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72243012960","2019-09-16T00:00:00","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71","76",,,"-0.01","3","85","29.98",,"29.86","9.94","73","350",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08072243 32966 43503 10244 20217 30112 40154 53002 90553 333 10300 20239 555 91606=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-06-11"
"72243012960","2019-09-16T00:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.99","71","76","0.00",,,,"85","29.99","FEW:02 120 FEW:02 250","29.88","10.00","73","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10709/16/19 00:53:02 METAR KIAH 160653Z 00000KT 10SM FEW120 FEW250 24/22 A2999 RMK AO2 SLP155 T02440217 $ (GA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-06-11"
"72243012960","2019-09-16T01:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.99","71","76","0.00",,,,"85","29.98","SCT:04 120 SCT:04 250","29.88","10.00","73","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10709/16/19 01:53:02 METAR KIAH 160753Z 00000KT 10SM SCT120 SCT250 24/22 A2999 RMK AO2 SLP153 T02440217 $ (GA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-06-11"
"72243012960","2019-09-16T02:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.98","71","75","0.00",,"+0.01","8","88","29.98","SCT:04 250","29.87","10.00","72","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10609/16/19 02:53:02 METAR KIAH 160853Z 00000KT 10SM SCT250 24/22 A2998 RMK AO2 SLP152 T02390217 58002 $ (GA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-06-11"
"72243012960","2019-09-16T03:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.98","71","75","0.00",,,,"88","29.97","SCT:04 250","29.87","10.00","72","330",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10009/16/19 03:53:02 METAR KIAH 160953Z 33003KT 10SM SCT250 24/22 A2998 RMK AO2 SLP150 T02390217 $ (GA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-06-11"
"72243012960","2019-09-16T04:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.98","71","76","0.00",,,,"85","29.98","FEW:02 250","29.87","10.00","73","350",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10009/16/19 04:53:02 METAR KIAH 161053Z 35003KT 10SM FEW250 24/22 A2998 RMK AO2 SLP151 T02440217 $ (GA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-06-11"
"72243012960","2019-09-16T05:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.99","71","76","0.00",,"-0.00","3","85","29.98","FEW:02 250","29.88","10.00","73","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11809/16/19 05:53:02 METAR KIAH 161153Z 00000KT 10SM FEW250 24/22 A2999 RMK AO2 SLP152 T02440217 10256 20239 53000 $ (GA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-06-11"
"72243012960","2019-09-16T06:00:00","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71","76",,,,,"85","29.98",,"29.86","9.94","73","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08072243 32966 20000 10244 20217 30112 40152 53000 91153 333 10356 20239 555 91612=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-06-11"
"72243012960","2019-09-16T06:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.99","72","78","0.00",,,,"82","29.98","FEW:02 250","29.88","10.00","74","VRB",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09909/16/19 06:53:02 METAR KIAH 161253Z VRB05KT 10SM FEW250 26/22 A2999 RMK AO2 SLP154 T02560222 (JAG)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-06-11"
"72243012960","2019-09-16T07:53:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.00","73","82","0.00",,,,"74","29.99","FEW:02 250","29.89","10.00","76","020",,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09909/16/19 07:53:02 METAR KIAH 161353Z 02007KT 10SM FEW250 28/23 A3000 RMK AO2 SLP157 T02780228 (JAG)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-06-11"
